314, 2.269, 3.51, 3.55,  *,  *,  *,  *, 
315, 2.277, 3.49, 3.55,  *,  *,  *,  *, 
316, 2.287, 3.51, 3.56,  *,  *,  *,  *, 
317, 2.292, 3.51, 3.55,  *,  *,  *,  *, 
318, 2.3, 3.49, 3.55,  *,  *,  *,  *, 
319, 2.307, 3.51, 3.56,  *,  *,  *,  *, 
320, 2.316, 3.5, 3.55,  *,  *,  *,  *, 
321, 2.321, 3.49, 3.55,  *,  *,  *,  *, 
322, 2.327, 3.51, 3.56,  *,  *,  *,  *, 
323, 2.335, 3.5, 3.55,  *,  *,  *,  *, 
324, 2.343, 3.5, 3.56,  *,  *,  *,  *, 
325, 2.348, 3.51, 3.56,  *,  *,  *,  *, 
326, 2.355, 3.49, 3.55,  *,  *,  *,  *, 
327, 2.364, 3.5, 3.56,  *,  *,  *,  *, 
328, 2.374, 3.51, 3.56,  *,  *,  *,  *, 
329, 2.378, 3.49, 3.55,  *,  *,  *,  *, 
330, 2.384, 3.51, 3.56,  *,  *,  *,  *, 
331, 2.393, 3.51, 3.56,  *,  *,  *,  *, 
332, 2.402, 3.5, 3.55,  *,  *,  *,  *, 
333, 2.41, 3.51, 3.56,  *,  *,  *,  *, 
334, 2.417, 3.49, 3.55,  *,  *,  *,  *, 
335, 2.426, 3.5, 3.56,  *,  *,  *,  *, 
336, 2.431, 3.51, 3.56,  *,  *,  *,  *, 
337, 2.437, 3.48, 3.55,  *,  *,  *,  *, 
338, 2.445, 3.51, 3.56,  *,  *,  *,  *, 
339, 2.455, 3.5, 3.55,  *,  *,  *,  *, 
340, 2.459, 3.49, 3.55,  *,  *,  *,  *, 
341, 2.466, 3.51, 3.56,  *,  *,  *,  *, 
342, 2.476, 3.5, 3.55,  *,  *,  *,  *, 
343, 2.483, 3.5, 3.55,  *,  *,  *,  *, 
344, 2.487, 3.51, 3.56,  *,  *,  *,  *, 
345, 2.495, 3.49, 3.55,  *,  *,  *,  *, 
346, 2.502, 3.5, 3.55,  *,  *,  *,  *, 
347, 2.512, 3.51, 3.55,  *,  *,  *,  *, 
348, 2.518, 3.49, 3.55,  *,  *,  *,  *, 
349, 2.522, 3.51, 3.56,  *,  *,  *,  *, 
350, 2.531, 3.51, 3.55,  *,  *,  *,  *, 
351, 2.541, 3.49, 3.55,  *,  *,  *,  *, 
352, 2.545, 3.51, 3.56,  *,  *,  *,  *, 
353, 2.551, 3.5, 3.55,  *,  *,  *,  *, 
354, 2.561, 3.49, 3.55,  *,  *,  *,  *, 
355, 2.568, 3.51, 3.56,  *,  *,  *,  *, 
356, 2.572, 3.5, 3.55,  *,  *,  *,  *, 
357, 2.58, 3.49, 3.56,  *,  *,  *,  *, 
358, 2.588, 3.51, 3.56,  *,  *,  *,  *, 
359, 2.597, 3.49, 3.55,  *,  *,  *,  *, 
360, 2.602, 3.5, 3.56,  *,  *,  *,  *, 
361, 2.609, 3.51, 3.55,  *,  *,  *,  *, 
362, 2.618, 3.49, 3.55,  *,  *,  *,  *, 
363, 2.626, 3.51, 3.56,  *,  *,  *,  *, 
364, 2.635, 3.49, 3.55,  *,  *,  *,  *, 
365, 2.642, 3.5, 3.56,  *,  *,  *,  *, 
366, 2.651, 3.51, 3.56,  *,  *,  *,  *, 
367, 2.654, 3.49, 3.55,  *,  *,  *,  *, 
368, 2.662, 3.5, 3.56,  *,  *,  *,  *, 
369, 2.671, 3.51, 3.56,  *,  *,  *,  *, 
370, 2.679, 3.49, 3.55,  *,  *,  *,  *, 
371, 2.684, 3.51, 3.56,  *,  *,  *,  *, 
372, 2.691, 3.5, 3.55,  *,  *,  *,  *, 
373, 2.699, 3.49, 3.55,  *,  *,  *,  *, 
374, 2.708, 3.51, 3.56,  *,  *,  *,  *, 
375, 2.712, 3.5, 3.55,  *,  *,  *,  *, 
376, 2.721, 3.49, 3.56,  *,  *,  *,  *, 
377, 2.728, 3.51, 3.56,  *,  *,  *,  *, 
